PARÂMETROS,Data,Alumínio Total,Arsênio Total,Bário Total,Boro Total,Cádmio Total,Chumbo Total,Cianeto Total,Cobalto Total,Cobre Total,Cromo Total,Cromo Hexavalente,DBO,DQO,Estanho Total,Fenóis Total,Ferro Total,Fósforo Total,Fluoreto,Lítio Total,Manganês Total,Mercúrio,Molibdênio Total,Níquel Total,Nitrogênio Amoniacal,Nitrogênio Total Kjeldahl,Coliformes Termotolerantes,Prata Total,Mercúrio Total,Cianeto,Índice de Fenóis,Nitrogênio Total,Fenol
P1,2017-07-01,0.552,"<0,010",0.11,0.07,"<0,004","<0,006",,"<0,010",0.013,"<0,009","<0,0005",30.0,,"<0,050",,4.815,1.92,0.275,"<0,090",0.243,,"<0,010","<0,010",14.2,20.0,,,"<1,0","<0,005",,,"<0,04"
P2/P6,2017-07-01,0.324,"<0,010",0.115,0.15,"<0,004","<0,006",,"<0,010","<0,0050","<0,009","<0,0005",8.0,,"<0,050",,1.216,3.248,0.725,"<0,090",0.185,,"<0,010","<0,010",20.4,25.4,,,"<1,0","<0,005",,,"<0,04"
P1,2017-10-01,1.94,"< 0,010",0.047,"< 0,050","< 0,004","< 0,006",,"< 0,010",0.104,"< 0,009","< 0,0005",40.0,,"< 0,050",,2.76,1.18,"< 0,05","<0,090",0.127,,"< 0,010","< 0,010",6.84,13.39,,,"< 1,0","< 0,005",,,"< 0,04"
P2/P6,2017-10-01,0.24,0.01,0.054000000000000006,0.05,0.004,0.006,,0.01,0.106,0.009,0.0005,15.0,,0.05,,1.2,4.19,0.355,0.09,0.4,,0.01,0.01,14.66,17.69,,,1,0.005,,,0.04
P1,2017-01-01,0.46799999999999997,0.01,0.052000000000000005,0.05,0.004,0.006,,0.01,0.05,0.009,0.0005,136.0,,0.05,,3.84,4.1,0.673,0.09,0.209,,0.01,0.01,21.2,36.3,,,1,0.005,,,0.04
P2/P6,2017-01-01,0.271,0.01,0.042,0.05,0.004,0.006,,0.01,0.045,0.009,0.0005,42.8,,0.05,,1.23,2.25,0.824,0.09,0.09,,0.01,0.01,11.9,14.8,,,1,0.005,,,0.04
P1,2017-04-01,1.475,"< 0,010",0.142,0.103,"< 0,004","< 0,006",,"< 0,010",0.046,0.013,"< 0,0005",140.0,,"< 0,050",,2.474,6.33,1.488,"< 0,090",0.18100000000000002,,"< 0,010","< 0,010",59.2,86.8,,,"< 1,0","< 0,005",,,0.08
P2/P6,2017-04-01,0.7879999999999999,"< 0,010",0.078,"< 0,050","< 0,004","< 0,006",,"< 0,010",0.021,"< 0,009","< 0,0005",17.5,,"< 0,050",,0.45899999999999996,6.252999999999999,1.476,"< 0,090",0.24100000000000002,,"< 0,010","< 0,010",51.6,57.3,,,"< 1,0","< 0,005",,,"< 0,04"
P1,2017-07-01,0.552,"<0,010",0.11,0.07,"<0,004","<0,006",,"<0,010",0.013,"<0,009","<0,0005",30.0,,"<0,050",,4.815,1.92,0.275,"<0,090",0.243,,"<0,010","<0,010",14.2,20.0,,,"<1,0","<0,005",,,"<0,04"
P2/P6,2017-07-01,0.324,"<0,010",0.115,0.15,"<0,004","<0,006",,"<0,010","<0,0050","<0,009","<0,0005",8.0,,"<0,050",,1.216,3.248,0.725,"<0,090",0.185,,"<0,010","<0,010",20.4,25.4,,,"<1,0","<0,005",,,"<0,04"
