DATA DA COLETA,P1 - Entrada ETE,P2/P6- Saída da ETE ,P1 - Média mês,P2/P6 - Média mês,ANAL. AMB.,OBSERVAÇÕES,P7 - Rede Pluvial (trimestral),Ponto de coleta Saída (P2 ou P6)
2016-05-04,55.5,82.8,54.15,77.725,nan,Neste dia a coleta foi realizada no P6,nan,nan
2016-05-10,53.0,78.8,nan,nan,nan,Neste dia a coleta foi realizada no P6,nan,nan
2016-05-17,46.0,68.2,nan,nan,nan,Neste dia a coleta foi realizada no P6,nan,nan
2016-05-24,62.1,81.1,nan,nan,nan,Neste dia a coleta foi realizada no P6,nan,nan
2016-06-01,45.8,95.0,61.16666666666666,80.33999999999997,nan,Início partida CBR,nan,nan
2016-06-07,63.3,88.5,nan,nan,nan,nan,nan,nan
2016-06-14,70.2,86.2,nan,nan,nan,Dia 11/07 quebrou correia do CBR,nan,nan
2016-07-21,38.1,58.4,nan,nan,nan,nan,nan,nan
2016-06-28,74.4,73.6,nan,nan,nan,nan,nan,nan
2016-07-06,21.8,49.7,16.6,22.0,nan,nan,48.3,nan
2016-07-12,16.1,21.0,nan,nan,nan,nan,nan,nan
2016-07-19,14.0,10.6,nan,nan,nan,nan,nan,nan
2016-07-26,14.5,6.7,nan,nan,nan,nan,nan,nan
2016-08-03,44.2,10.3,37.53333333333333,32.13333333333333,nan,nan,nan,nan
2016-08-09,20.6,23.7,nan,nan,nan,nan,nan,nan
2016-08-16,42.1,46.7,nan,nan,nan,nan,nan,nan
2016-08-23,25.8,65.6,nan,nan,nan,nan,nan,nan
2016-08-30,37.3,32.7,nan,nan,nan,nan,nan,nan
2016-09-08,55.2,13.8,50.40000000000001,36.775,nan,nan,nan,nan
2016-09-13,45.6,51.0,nan,nan,nan,nan,nan,nan
2016-09-22,41.7,21.3,nan,nan,nan,nan,nan,nan
2016-09-27,59.8,61.0,nan,nan,nan,nan,nan,nan
2016-10-05,39.9,80.2,26.85,40.34,nan,nan,7.9,nan
2016-10-11,27.4,42.8,nan,nan,nan,nan,nan,nan
2016-10-18,10.2,15.9,nan,nan,nan,nan,nan,nan
2016-10-25,29.9,40.5,nan,nan,nan,nan,nan,nan
2016-11-03,31.0,22.3,35.23999999999999,33.22000000000001,nan,nan,nan,nan
2016-11-08,34.1,32.4,nan,nan,nan,nan,nan,nan
2016-11-17,31.7,29.2,nan,nan,nan,nan,nan,nan
2016-11-22,39.4,44.7,nan,nan,nan,nan,nan,nan
2016-11-29,40.0,37.5,nan,nan,nan,nan,nan,nan
2016-12-07,31.9,23.6,35.4,20.633333333333336,nan,nan,nan,nan
2016-12-13,48.5,21.5,nan,nan,nan,nan,nan,nan
2016-12-20,25.8,16.8,nan,nan,nan,nan,nan,nan
2017-01-04,14.8,11.2,11.1,8.95,nan,nan,0.6,nan
2017-01-10,7.4,9.8,nan,nan,nan,nan,nan,nan
2017-01-17,20.3,6.5,nan,nan,nan,nan,nan,nan
2017-01-24,42.6,8.3,nan,nan,nan,nan,nan,nan
2017-02-01,8.5,19.2,24.925,11.3,nan,nan,nan,nan
2017-02-07,15.2,5.8,nan,nan,nan,nan,nan,nan
2017-02-14,32.4,6.8,nan,nan,nan,nan,nan,nan
2017-02-21,43.6,13.4,nan,nan,nan,nan,nan,nan
2017-03-01,68.2,51.5,64.28,47.94,nan,CBR estava em conserto,nan,P6
2017-03-07,101.4,60.2,nan,nan,nan,CBR estava em conserto,nan,P6
2017-03-14,46.9,33.8,nan,nan,nan,nan,nan,nan
2017-03-21,51.9,48.1,nan,nan,nan,nan,nan,nan
2017-03-28,53.0,46.1,nan,nan,nan,nan,nan,nan
2017-04-05,40.1,29.8,57.425,31.975,nan,nan,9.1,nan
2017-04-11,42.8,34.8,nan,nan,nan,nan,nan,nan
