ENTIDADE,DATA,pH
P7,2017-05-03,
P1,2017-06-07,6.7
Pb,2017-06-07,7.2
Pc,2017-06-07,7.6
Pd,2017-06-07,7.7
P2,2017-06-07,7.7
P3,2017-06-07,7.3
P4,2017-06-07,7.2
P5,2017-06-07,7.0
P7,2017-06-07,
P1,2017-07-07,6.8
Pb,2017-07-07,7.0
Pc,2017-07-07,5.7
Pd,2017-07-07,7.6
P2,2017-07-07,7.6
P3,2017-07-07,7.3
P4,2017-07-07,7.5
P5,2017-07-07,7.7
P7,2017-07-07,8.4
P1,2017-08-02,6.7
Pb,2017-08-02,
Pc,2017-08-02,
Pd,2017-08-02,
P2,2017-08-02,6.8
P3,2017-08-02,7.1
P4,2017-08-02,7.5
P5,2017-08-02,8.1
P7,2017-08-02,
P1,2017-09-06,7.0
Pb,2017-09-06,7.3
Pc,2017-09-06,7.9
Pd,2017-09-06,7.9
P2,2017-09-06,7.9
P3,2017-09-06,7.3
P4,2017-09-06,7.4
P5,2017-09-06,7.5
P7,2017-09-06,
P1,2017-10-04,7.2
Pb,2017-10-04,7.4
Pc,2017-10-04,7.9
Pd,2017-10-04,7.9
P2,2017-10-04,7.9
P3,2017-10-04,7.2
P4,2017-10-04,7.7
P5,2017-10-04,9.7
P7,2017-10-04,8.1
P1,2017-11-01,6.5
Pb,2017-11-01,7.1
Pc,2017-11-01,7.4
Pd,2017-11-01,7.5
P2,2017-11-01,7.5
P3,2017-11-01,6.9
P4,2017-11-01,6.7
P5,2017-11-01,7.7
P7,2017-11-01,
P1,2017-12-06,6.6
Pb,2017-12-06,
Pc,2017-12-06,
Pd,2017-12-06,
P2,2017-12-06,6.6
P3,2017-12-06,6.9
P4,2017-12-06,7.0
P5,2017-12-06,8.1
P7,2017-12-06,
P1,2018-01-24,6.6
Pb,2018-01-24,6.9
Pc,2018-01-24,6.3
Pd,2018-01-24,6.4
P2,2018-01-24,6.6
P3,2018-01-24,6.9
P4,2018-01-24,6.7
P5,2018-01-24,7.2
P7,2018-01-24,
P1,2018-02-15,6.6
Pb,2018-02-15,7.1
Pc,2018-02-15,6.6
Pd,2018-02-15,6.7
P2,2018-02-15,6.6
P3,2018-02-15,6.8
P4,2018-02-15,7.3
P5,2018-02-15,7.4
P7,2018-02-15,6.3
P1,2018-03-07,6.9
Pb,2018-03-07,
Pc,2018-03-07,
Pd,2018-03-07,
P2,2018-03-07,7.3
P3,2018-03-07,7.4
P4,2018-03-07,7.8
P5,2018-03-07,7.7
P7,2018-03-07,
P1,2018-04-04,7.0
Pb,2018-04-04,
Pc,2018-04-04,
Pd,2018-04-04,
