ENTIDADE,DATA,SÓLIDOS
Pc,2017-12-12,
Pd,2017-12-12,
P2,2017-12-12,19.3
P3,2017-12-12,7.3
P4,2017-12-12,32.3
P5,2017-12-12,25.4
P7,2017-12-12,
P1,2017-01-10,45.8
Pb,2017-01-10,12.7
Pc,2017-01-10,14.5
Pd,2017-01-10,5.4
P2,2017-01-10,5.7
P3,2017-01-10,10.9
P4,2017-01-10,19.8
P5,2017-01-10,3.3
P7,2017-01-10,5.6
P1,2017-02-07,16.1
Pb,2017-02-07,10.9
Pc,2017-02-07,10.9
Pd,2017-02-07,2.4
P2,2017-02-07,3.6
P3,2017-02-07,2.5
P4,2017-02-07,23.5
P5,2017-02-07,11.7
P7,2017-02-07,
P1,2017-03-07,28.0
Pb,2017-03-07,
Pc,2017-03-07,
Pd,2017-03-07,
P2,2017-03-07,26.7
P3,2017-03-07,7.8
P4,2017-03-07,53.6
P5,2017-03-07,17.4
P7,2017-03-07,
P1,2017-04-11,68.8
Pb,2017-04-11,20.4
Pc,2017-04-11,22.0
Pd,2017-04-11,8.9
P2,2017-04-11,66.5
P3,2017-04-11,7.3
P4,2017-04-11,240.0
P5,2017-04-11,49.3
P7,2017-04-11,3.7
P1,2017-05-09,103.3
Pb,2017-05-09,
Pc,2017-05-09,
Pd,2017-05-09,
P2,2017-05-09,9.8
P3,2017-05-09,12.0
P4,2017-05-09,272.5
P5,2017-05-09,23.6
P7,2017-05-09,
P1,2017-06-13,29.8
Pb,2017-06-13,24.9
Pc,2017-06-13,14.5
Pd,2017-06-13,10.6
P2,2017-06-13,13.5
P3,2017-06-13,9.9
P4,2017-06-13,40.9
P5,2017-06-13,11.6
P7,2017-06-13,
P1,2017-07-11,71.2
Pb,2017-07-11,22.4
Pc,2017-07-11,6.2
Pd,2017-07-11,62.5
P2,2017-07-11,27.8
P3,2017-07-11,6.2
P4,2017-07-11,312.0
P5,2017-07-11,32.9
P7,2017-07-11,28.6
P1,2017-08-08,103.7
Pb,2017-08-08,
Pc,2017-08-08,
Pd,2017-08-08,
P2,2017-08-08,24.5
P3,2017-08-08,62.2
P4,2017-08-08,98.5
P5,2017-08-08,50.9
P7,2017-08-08,
P1,2017-09-12,147.3
Pb,2017-09-12,29.8
Pc,2017-09-12,88.4
Pd,2017-09-12,58.0
P2,2017-09-12,18.8
