ENTIDADE,DATA,DBO
P4,2017-10-04,188.0
P5,2017-10-04,5.2
P7,2017-10-04,11.0
P1,2017-11-01,45.0
Pb,2017-11-01,27.0
Pc,2017-11-01,27.0
Pd,2017-11-01,21.0
P2,2017-11-01,13.5
P3,2017-11-01,6.4
P4,2017-11-01,65.0
P5,2017-11-01,6.8
P7,2017-11-01,
P1,2017-12-06,130.0
Pb,2017-12-06,
Pc,2017-12-06,
Pd,2017-12-06,
P2,2017-12-06,51.0
P3,2017-12-06,7.2
P4,2017-12-06,100.0
P5,2017-12-06,10.4
P7,2017-12-06,
P1,2017-01-04,180.0
Pb,2017-01-04,19.0
Pc,2017-01-04,33.0
Pd,2017-01-04,13.0
P2,2017-01-04,58.0
P3,2017-01-04,10.0
P4,2017-01-04,96.0
P5,2017-01-04,3.2
P7,2017-01-04,4.0
P1,2017-02-01,24.0
Pb,2017-02-01,23.0
Pc,2017-02-01,4.0
Pd,2017-02-01,8.0
P2,2017-02-01,10.0
P3,2017-02-01,8.0
P4,2017-02-01,80.0
P5,2017-02-01,8.4
P7,2017-02-01,
P1,2017-03-01,116.0
Pb,2017-03-01,14.0
Pc,2017-03-01,23.0
Pd,2017-03-01,18.0
P2,2017-03-01,18.0
P3,2017-03-01,9.2
P4,2017-03-01,228.0
P5,2017-03-01,5.2
P7,2017-03-01,
P1,2017-04-05,132.0
Pb,2017-04-05,62.0
Pc,2017-04-05,45.0
Pd,2017-04-05,16.0
P2,2017-04-05,30.0
P3,2017-04-05,6.4
P4,2017-04-05,64.0
P5,2017-04-05,7.2
P7,2017-04-05,4.0
P1,2017-05-03,132.0
Pb,2017-05-03,
Pc,2017-05-03,
Pd,2017-05-03,
P2,2017-05-03,67.0
P3,2017-05-03,10.4
P4,2017-05-03,580.0
P5,2017-05-03,7.0
P7,2017-05-03,
P1,2017-06-07,224.0
Pb,2017-06-07,46.0
Pc,2017-06-07,24.0
Pd,2017-06-07,23.0
P2,2017-06-07,11.0
P3,2017-06-07,5.2
P4,2017-06-07,68.0
P5,2017-06-07,3.6
P7,2017-06-07,
P1,2017-07-07,212.0
Pb,2017-07-07,49.0
Pc,2017-07-07,80.0
Pd,2017-07-07,35.0
P2,2017-07-07,59.0
P3,2017-07-07,12.0
P4,2017-07-07,240.0
P5,2017-07-07,5.6
P7,2017-07-07,75.0
P1,2017-08-02,266.0
Pb,2017-08-02,
Pc,2017-08-02,
Pd,2017-08-02,
P2,2017-08-02,96.0
P3,2017-08-02,9.2
P4,2017-08-02,330.0
P5,2017-08-02,29.0
P7,2017-08-02,
P1,2017-09-06,780.0
Pb,2017-09-06,53.0
Pc,2017-09-06,47.0
Pd,2017-09-06,31.5
P2,2017-09-06,46.0
P3,2017-09-06,31.0
P4,2017-09-06,180.0
P5,2017-09-06,21.0
P7,2017-09-06,
P1,2017-10-04,258.0
Pb,2017-10-04,59.0
Pc,2017-10-04,38.0
Pd,2017-10-04,35.0
P2,2017-10-04,43.0
P3,2017-10-04,7.6
P4,2017-10-04,188.0
P5,2017-10-04,5.2
P7,2017-10-04,11.0
P1,2017-11-01,45.0
Pb,2017-11-01,27.0
Pc,2017-11-01,27.0
Pd,2017-11-01,21.0
P2,2017-11-01,13.5
P3,2017-11-01,6.4
P4,2017-11-01,65.0
P5,2017-11-01,6.8
P7,2017-11-01,
P1,2017-12-06,130.0
Pb,2017-12-06,
Pc,2017-12-06,
Pd,2017-12-06,
P2,2017-12-06,51.0
P3,2017-12-06,7.2
P4,2017-12-06,100.0
P5,2017-12-06,10.4
P7,2017-12-06,
P1,2018-01-24,10.0
Pb,2018-01-24,12.7
Pc,2018-01-24,7.8
Pd,2018-01-24,9.2
P2,2018-01-24,7.0
P3,2018-01-24,6.4
P4,2018-01-24,4.0
P5,2018-01-24,11.6
P7,2018-01-24,
P1,2018-02-09,40.0
Pb,2018-02-09,20.0
Pc,2018-02-09,31.0
Pd,2018-02-09,21.0
P2,2018-02-09,50.0
P3,2018-02-09,4.2
P4,2018-02-09,13.0
P5,2018-02-09,4.0
P7,2018-02-09,20.0
P1,2018-03-07,42.0
Pb,2018-03-07,
Pc,2018-03-07,
Pd,2018-03-07,
P2,2018-03-07,66.0
P3,2018-03-07,6.0
P4,2018-03-07,277.0
P5,2018-03-07,5.6
P7,2018-03-07,
P1,2018-04-04,190.0
Pb,2018-04-04,
Pc,2018-04-04,
Pd,2018-04-04,
P2,2018-04-04,66.0
P3,2018-04-04,4.4
P4,2018-04-04,132.0
P5,2018-04-04,7.2
P7,2018-04-04,7.9
P1,2018-05-02,134.0
