ENTIDADE,DATA,óleos
Pb,2018-02-15,10.0
Pc,2018-02-15,10.0
Pd,2018-02-15,10.0
P2,2018-02-15,10.0
P3,2018-02-15,10.0
P4,2018-02-15,10.0
P5,2018-02-15,12.8
P7,2018-02-15,14.4
P1,2018-03-13,26.0
Pb,2018-03-13,
Pc,2018-03-13,
Pd,2018-03-13,
P2,2018-03-13,16.5
P3,2018-03-13,17.2
P4,2018-03-13,75.8
P5,2018-03-13,24.1
P7,2018-03-13,
P1,2018-04-10,10.0
Pb,2018-04-10,
Pc,2018-04-10,
Pd,2018-04-10,
P2,2018-04-10,11.3
P3,2018-04-10,10.0
P4,2018-04-10,14.6
P5,2018-04-10,10.0
P7,2018-04-10,10.0
P1,2018-05-08,27.3
Pb,2018-05-08,
Pc,2018-05-08,
